Periode,TYPE_EENHEID,NIS_CODE_EENHEID,LABEL_EENHEID,AANTAL fieldLabel_nl,TOTAAL
202106,Gemeente,91141,Yvoir,2,9105
202106,Gemeente,91142,Hastiere,1,6068
202106,Gemeente,92097,Ohey,0,5182
202106,Gemeente,11002,Antwerpen,707,529417
202106,Gemeente,11004,Boechout,7,13527
202106,Gemeente,11024,Kontich,3,21260
202106,Gemeente,11030,Niel,0,10493
202106,Gemeente,11038,Schelle,1,8559
202106,Gemeente,12002,Berlaar,2,11710
202106,Gemeente,12005,Bonheiden,4,15177
202106,Gemeente,12025,Mechelen,88,86911
202106,Gemeente,12026,Nijlen,4,22985
202106,Gemeente,13003,Balen,3,22853
202106,Gemeente,13011,Herentals,8,28194
202106,Gemeente,13012,Herenthout,0,9185
202106,Gemeente,13013,Herselt,0,14649
202106,Gemeente,13014,Hoogstraten,4,21560
202106,Gemeente,13035,Ravels,0,15104
202106,Gemeente,13036,Retie,5,11582
202106,Gemeente,13040,Turnhout,67,45874
202106,Gemeente,21015,Schaarbeek,701,131451
202106,Gemeente,21019,Sint-Pieters-Woluwe,39,41996
202106,Gemeente,23002,Asse,21,33827
202106,Gemeente,23032,Herne,0,6706
202106,Gemeente,23033,Hoeilaart,7,11509
202106,Gemeente,23060,Opwijk,4,14793
202106,Gemeente,23064,Pepingen,1,4499
202106,Gemeente,23077,Sint-Pieters-Leeuw,12,35061
202106,Gemeente,23088,Vilvoorde,0,45715
202106,Gemeente,23094,Zaventem,14,35184
202106,Gemeente,23099,Kraainem,7,13847
202106,Gemeente,23102,Wemmel,5,17013
202106,Gemeente,23103,Wezembeek-Oppem,15,14254
202106,Gemeente,24007,Begijnendijk,0,10322
202106,Gemeente,24008,Bekkevoort,5,6348
202106,Gemeente,24014,Boortmeerbeek,0,12711
202106,Gemeente,24033,Haacht,1,15080
202106,Gemeente,24059,Landen,6,16051
202106,Gemeente,24062,Leuven,133,101032
202106,Gemeente,25068,Mont-Saint-Guibert,0,7940
202106,Gemeente,25072,Nijvel,1,29032
202106,Gemeente,25084,Perwijs,0,9449
202106,Gemeente,25091,Rixensart,6,22764
202106,Gemeente,25117,Chastre,2,7726
202106,Gemeente,25122,Ramillies,3,6592
202106,Gemeente,31043,Knokke-Heist,4,33086
202106,Gemeente,32030,Lo-Reninge,0,3257
202106,Gemeente,33011,Ieper,21,34954
202106,Gemeente,33029,Wervik,10,18864
202106,Gemeente,33041,Vleteren,0,3649
202106,Gemeente,34025,Lendelede,0,5766
202106,Gemeente,34043,Spiere-Helkijn,0,2076
202106,Gemeente,35005,Gistel,2,12107
